"child_id","session_1_words_spoken","session_2_words_spoken","session_3_words_spoken","session_4_words_spoken","session_5_words_spoken","session_6_words_spoken","session_7_words_spoken","session_8_words_spoken","session_9_words_spoken","session_12_words_spoken","session_10_words_spoken","session_11_words_spoken","session_1_percentile","session_2_percentile","session_3_percentile","session_4_percentile","session_5_percentile","session_6_percentile","session_7_percentile","session_8_percentile","session_9_percentile","session_12_percentile","session_10_percentile","session_11_percentile"
4139,91,161,201,227,265,316,372,423,451,474,NA,NA,63.6363636363636,63.125,55.9375,52.3913043478261,52.6923076923077,53.2142857142857,54.5,54.3103448275862,46.875,29.8275862068966,NA,NA
4155,57,92,134,NA,258,315,NA,414,515,644,569,617,58.8461538461538,61.3333333333333,65.952380952381,NA,78.6666666666667,62.6086956521739,NA,75.5128205128205,79.2105263157895,90.15625,79.1428571428571,88.4615384615385
4162,124,244,370,430,486,552,610,638,NA,665,655,NA,99,91.6666666666667,94.2156862745098,89.2424242424242,94.1911764705882,93.75,96.5714285714286,90.9821428571429,NA,90.5,94,NA
4186,114,132,NA,191,282,307,406,565,621,NA,630,NA,64.1176470588235,28,NA,53,66.551724137931,33.9130434782609,62.7083333333333,80,90.625,NA,77.7777777777778,NA
4189,45,67,91,129,165,248,295,NA,NA,659,402,482,15.625,25,16.3333333333333,26.5909090909091,17.3076923076923,27.5806451612903,20.8108108108108,NA,NA,92,16.7647058823529,20.625
4210,112,198,308,402,454,475,NA,556,593,666,NA,NA,61.1538461538462,80.7142857142857,74.8,88.5869565217391,87.9347826086957,81.6666666666667,NA,84.8148148148148,89.2857142857143,98.5555555555556,NA,NA
4214,14,20,23,27,29,34,36,46,66,192,102,139,5,4.54545454545454,3.75,3.85714285714286,2.84090909090909,2.76785714285714,1.89655172413793,2.52873563218391,2.75700934579439,4.50261780104712,2.76729559748428,3.24607329842932
4247,285,403,500,575,600,631,NA,664,664,675,664,666,92.4242424242424,91.6216216216216,90.0735294117647,94.7540983606557,93.7735849056604,92.8260869565217,NA,98.4782608695652,98.6521739130435,98.2,97.6666666666667,95.4
4248,97,97,208,330,401,473,578,611,645,671,653,663,55,45.3571428571429,66.1904761904762,77.6923076923077,73.7037037037037,81.1111111111111,90.3260869565217,92.5,93.5,97.7692307692308,91.6666666666667,88.75
4250,2,7,13,18,34,54,152,387,517,NA,578,NA,2.5,3,3.4375,3.75,9.16666666666667,13.3333333333333,29.4117647058824,70.9677419354839,80.6521739130435,NA,80,NA
4261,158,231,531,663,669,NA,674,674,674,680,674,680,80.068073519401,87.7272727272727,99,99,99,NA,99,99,99,99,99,99
4264,249,398,501,551,652,663,669,674,674,674,674,674,89.5238095238095,95.6736842105263,96.8666666666667,95.5432098765432,99,99,99,99,99,99,99,99
4265,48,96,148,218,292,339,397,434,514,568,NA,NA,55.3846153846154,57.5,62.75,67.8846153846154,73.75,68.7931034482759,75.5128205128205,71.6129032258064,78.421052631579,73.2692307692308,NA,NA
4267,43,71,97,177,NA,276,473,539,NA,NA,NA,NA,52.1428571428571,45,46.6666666666667,50.75,NA,61.6666666666667,92.5714285714286,89.4594594594595,NA,NA,NA,NA
4270,269,331,435,514,540,562,588,611,NA,668,642,653,98.0526315789474,80.5854322668482,99,99,98.9712230215827,98.3559322033898,98.0833333333333,98.0933333333333,NA,99,98.3170731707317,97.8965517241379
4272,7,12,12,15,17,30,NA,42,56,226,67,131,7.5,4.61538461538462,2.8125,2.2,2.2,3.55263157894737,NA,3.4375,2.77777777777778,10.8695652173913,3.125,5.70422535211268
4273,45,76,163,355,480,618,645,NA,NA,671,670,671,40,43.4615384615385,64.375,89.3478260869565,93.9583333333333,99,98.9322033898305,NA,NA,99,99,99
4276,39,55,71,92,171,294,392,605,640,670,644,659,49.2857142857143,30.625,41.25,40,52,67.4137931034483,72.5,98.6266666666667,96.9512195121951,98.2,90.4166666666667,94.125
4289,10,23,47,62,79,94,NA,183,NA,529,299,393,11.6666666666667,13,31.25,26,24.5,22.5,NA,37.25,NA,72.2222222222222,38.8461538461538,44.7916666666667
4291,54,137,174,251,270,301,317,339,369,577,432,454,44.5,46.7857142857143,53.75,67.3809523809524,52.6086956521739,47.7272727272727,31.6176470588235,35.6896551724138,35.1666666666667,58,39.21875,31.7441860465116
4292,19,118,226,319,380,440,504,546,634,674,649,674,10,50,70.8,79.6153846153846,81.1538461538462,82.7777777777778,86.0294117647059,87.1428571428571,96.0666666666667,99,96.5652173913043,99
4301,42,67,93,240,312,NA,NA,NA,NA,NA,586,NA,21.875,31.8181818181818,27.5,51.3461538461538,45.625,NA,NA,NA,NA,NA,61.7857142857143,NA
4307,6,18,31,38,74,129,173,249,306,524,415,440,6.25,14,19.1666666666667,11.4285714285714,26.4285714285714,39.6153846153846,39.0625,48.3333333333333,46.8965517241379,53.2692307692308,62.2727272727273,46.0344827586207
4316,97,140,177,259,418,484,570,638,NA,676,662,670,66.1111111111111,67.1428571428571,67.1739130434783,76.1666666666667,88.5897435897436,91.2857142857143,90.4464285714286,94.0178571428571,NA,99,96.3333333333333,99
4318,44,81,165,210,268,394,493,560,600,667,632,651,47,63.4615384615385,80.0340367597005,79.5,84.8,93.7704918032787,95.5084745762712,96.5416666666667,94.7058823529412,95.2666666666667,96.3571428571429,97.3414634146342
4319,8,11,20,40,71,90,118,149,217,NA,320,481,5,2.5,7.27272727272727,11.8181818181818,20,12.8947368421053,16.5,12.8333333333333,20.4545454545455,NA,28.9393939393939,48.6363636363636
4338,5,19,66,NA,121,281,659,674,674,674,NA,NA,8,9.375,28.3333333333333,NA,29.7222222222222,45.4166666666667,99,99,99,94.7916666666667,NA,NA
4339,197,317,435,NA,585,NA,NA,654,NA,673,NA,673,88.5526315789474,89.8888888888889,94.5945945945946,NA,96.4915254237288,NA,NA,98.6,NA,99,NA,99
4354,31,NA,60,98,142,186,236,399,448,641,545,626,33.3333333333333,NA,32.2727272727273,38,43.2142857142857,43.3333333333333,37.1428571428571,61.5909090909091,53.1666666666667,76.75,71.6666666666667,88.4090909090909
4359,41,79,153,229,291,322,412,443,477,632,510,535,42.5,50.4545454545455,64.25,63.0434782608696,63.3333333333333,53.3333333333333,77.1794871794872,61.3636363636364,53.6666666666667,88.3333333333333,53.2142857142857,46.6
4377,25,30,39,106,377,NA,670,674,674,NA,NA,674,28,12,11.25,29.1666666666667,86.6304347826087,NA,99,99,99,NA,NA,99
4379,32,108,184,244,315,368,407,448,504,NA,642,NA,27.8571428571429,57.0833333333333,71.0416666666667,70.4,78.8461538461538,79.0384615384615,76.9230769230769,74.7916666666667,60.625,NA,91.1666666666667,NA
4399,125,196,265,329,NA,435,538,555,583,658,628,654,75.9375,85.2272727272727,90,90.983606557377,NA,91.0714285714286,92.3015873015873,86.7741935483871,70.2631578947368,87.6666666666667,65.2941176470588,89.7222222222222
4580,5,11,20,41,60,80,121,234,295,674,528,647,8,13.3333333333333,9.28571428571428,20.7142857142857,19.4444444444444,23.2142857142857,30.7894736842105,49.4444444444444,45.1724137931034,99,86.1764705882353,98.3103448275862
4810,50,71,87,117,171,205,303,343,426,649,528,616,16.875,19.5833333333333,25.2777777777778,26.3636363636364,30.6896551724138,29.6428571428571,37,35.15625,40.25,89.8611111111111,54.5454545454545,79.9099099099099
4811,310,366,431,475,497,530,561,577,599,631,613,628,90.3521126760563,90.7432432432432,87.5581395348837,91.6911764705882,90.1639344262295,89.7058823529412,89.6428571428571,87.2916666666667,80.3571428571429,68.3333333333333,79.7747747747748,77.2222222222222
4812,43,59,105,158,205,334,387,420,454,555,498,537,32.5,33.6363636363636,35.7692307692308,51.5,53.2608695652174,47.4137931034483,53.0357142857143,38.3928571428571,46.9642857142857,58.125,59.6428571428571,63.4615384615385
4817,126,190,287,407,462,513,559,577,603,654,630,644,54.0625,62.6315789473684,63.3333333333333,77.3076923076923,78.8,80.7407407407407,83.1818181818182,80.5555555555556,79.2792792792793,86.4285714285714,77.7777777777778,78.5714285714286
4818,231,284,342,432,504,565,600,621,NA,665,NA,659,72.2,81.875,74.6296296296296,72.9166666666667,79.9565217391304,84.7727272727273,80,80.4545454545455,NA,92.2727272727273,NA,89.2857142857143
4820,24,35,55,103,167,238,304,400,525,NA,586,640,9.44444444444444,17.1428571428571,16.3636363636364,35,36,43.0434782608696,46.6666666666667,46.4285714285714,74.8148148148148,NA,80.7142857142857,87.6666666666667
4827,348,431,482,541,NA,597,621,642,NA,657,NA,655,89.2391304347826,91.8055555555556,92.2058823529412,90.8490566037736,NA,90.945945945946,91.6666666666667,93.125,NA,92.3333333333333,NA,91.6666666666667
4830,9,10,10,13,46,82,118,164,237,441,NA,306,3.46153846153846,2.5,2,2.6,6.53846153846154,10.625,18.4090909090909,16.1290322580645,21.25,28.7837837837838,NA,19.6511627906977
4831,109,188,264,305,365,420,452,487,508,584,538,562,61.7647058823529,74.4444444444444,80.9259259259259,87.8787878787879,88.8888888888889,82.037037037037,87.051282051282,78.8157894736842,76.4285714285714,67.9166666666667,75.9375,75
4834,31,52,73,97,181,241,292,481,541,614,579,608,11.875,18.125,20.3571428571429,21.1111111111111,31.551724137931,28.2258064516129,28.6363636363636,52.6,58.6666666666667,56.875,61.4285714285714,64.0909090909091
4835,116,143,224,355,423,NA,680,680,680,680,680,680,63.8235294117647,63.5,73.8095238095238,87.7777777777778,90.0714285714286,NA,99,99,99,99,99,99
4837,41,74,112,141,172,209,NA,267,335,421,NA,391,21.4285714285714,32.6923076923077,38.4615384615385,38.4375,37.25,34.8611111111111,NA,31.25,27.2222222222222,26.0810810810811,NA,28.2432432432432
4839,81,136,166,187,240,296,347,407,469,565,505,536,30.3333333333333,38.8235294117647,37.2727272727273,41.9565217391304,34.8529411764706,35.8333333333333,35.3125,36.6129032258064,38.7931034482759,35.25,37.5,36.0869565217391
4840,47,73,125,218,353,419,464,497,NA,652,600,627,26,32.3076923076923,43.2142857142857,56.2,65.3703703703704,69.4,60.2941176470588,57.7272727272727,NA,91.25,73.9473684210526,82.2222222222222
4841,69,85,118,226,320,371,462,532,573,664,602,641,48.0769230769231,46.6666666666667,57.25,74.2857142857143,82.4137931034483,82.8571428571429,82.6923076923077,91.6666666666667,92.3214285714286,94.25,79.1666666666667,91.1538461538462
4842,21,31,103,205,405,NA,NA,NA,NA,NA,NA,NA,9.375,11.875,37.8571428571429,45.9090909090909,55.952380952381,NA,NA,NA,NA,NA,NA,NA
4846,19,32,55,83,134,287,394,441,502,560,527,538,8.125,12.5,20,23.9285714285714,23.2608695652174,28.75,28.7878787878788,30.9302325581395,34.2857142857143,27.0454545454545,32.875,28.6538461538462
4863,51,92,139,209,338,389,474,528,565,605,580,NA,38.3333333333333,49,55.2173913043478,62.6086956521739,77.5675675675676,78.0769230769231,84.8076923076923,80,87.4193548387097,79.375,78.7037037037037,NA
