ankle,street
aunt,babysitter
aunt,lady
aunt,man
aunt,woman
aunt,yourownbabysitter
babysitter,aunt
babysitter,boy
babysitter,brother
babysitter,cowboy
babysitter,girl
babysitter,lady
babysitter,mailman
babysitter,man
banana,beans
banana,bread
basket,picnic
beans,banana
belt,jacket
blanket,sweater
booboo,owie
bottom,buttocks
boy,babysitter
boy,child
boy,girl
boy,man
bread,banana
bread,cookie
bread,donut
bread,sandwich
brother,babysitter
brother,cowboy
brother,man
brother,uncle
brother,yourownbabysitter
buttocks,bottom
cheerios,donut
child,boy
child,girl
child,sister
cookie,bread
cowboy,babysitter
cowboy,brother
cowboy,man
daddy,grandpa
doctor,fireman
doctor,grandpa
doctor,lady
doctor,mailman
donut,bread
donut,cheerios
donut,hamburger
donut,muffin
door,drawer
drawer,door
duck,goose
fireman,doctor
fireman,mailman
fireman,man
friend,girl
friend,lady
girl,babysitter
girl,boy
girl,child
girl,friend
girl,lady
girl,mailman
girl,man
girl,sister
girl,woman
girl,yourownbabysitter
goose,duck
grandma,grandpa
grandma,lady
grandpa,daddy
grandpa,doctor
grandpa,grandma
grandpa,lady
grandpa,mailman
hamburger,donut
hamburger,pancake
hat,shirt
icecream,pudding
jacket,belt
kleenex,tissue
lady,aunt
lady,babysitter
lady,doctor
lady,friend
lady,girl
lady,grandma
lady,grandpa
lady,mailman
lady,man
mailman,babysitter
mailman,doctor
mailman,fireman
mailman,girl
mailman,grandpa
mailman,lady
mailman,man
man,aunt
man,babysitter
man,boy
man,brother
man,cowboy
man,fireman
man,girl
man,lady
man,mailman
man,people
man,sister
man,teacher
man,uncle
man,woman
mommy,nurse
mommy,sister
mommy,teacher
muffin,donut
nurse,mommy
nurse,person
nurse,sister
nurse,teacher
nurse,uncle
nurse,yourownbabysitter
owie,booboo
pancake,hamburger
people,man
people,person
people,sister
people,teacher
people,uncle
person,nurse
person,people
person,sister
person,teacher
person,uncle
picnic,basket
police,teacher
police,uncle
pop,soda
pudding,icecream
sandwich,bread
shirt,hat
shirt,sweater
sister,child
sister,girl
sister,man
sister,mommy
sister,nurse
sister,people
sister,person
sister,teacher
sister,uncle
sister,woman
sister,yourownbabysitter
soda,pop
street,ankle
sweater,blanket
sweater,shirt
teacher,man
teacher,mommy
teacher,nurse
teacher,people
teacher,person
teacher,police
teacher,sister
teacher,uncle
tissue,kleenex
uncle,brother
uncle,man
uncle,nurse
uncle,people
uncle,person
uncle,police
uncle,sister
uncle,teacher
woman,aunt
woman,girl
woman,man
woman,sister
woman,yourownbabysitter
yourownbabysitter,aunt
yourownbabysitter,brother
yourownbabysitter,girl
yourownbabysitter,nurse
yourownbabysitter,sister
yourownbabysitter,woman
